2025-06-05 09:50:14,564 - INFO - Aircraft model: f16
2025-06-05 09:50:14,564 - INFO - Simulation time: 100 seconds
2025-06-05 09:50:14,564 - INFO - Time step: 0.1 seconds
2025-06-05 09:50:14,564 - INFO - initial fuel: 3000.0
2025-06-05 09:50:14,567 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4653.626452185191, 'u': 676.7063458130824, 'v': -9.838841694653697, 'w': -10.044696140052622, 'phi': 15.452779033238619, 'theta': -43.982592870966805, 'psi': 170.79547591661668, 'p': 44.20822054602193, 'q': -2.058985831208332, 'r': 7.7129494847530635, 'time': 2.1000000000000005, 'x-dist': 1025.3193675118061, 'y-dist': 192.82025652098113, 'x': np.float64(192.8461133263228), 'y': -1025.4583961231406, 'z': 4653.626452182989, 'alpha': -0.8504079154918299, 'beta': -0.8328905315608863, 'alphadot': -2.6322465265341553, 'betadot': -13.609385995293488, 'gamma': -42.93832637780763}
2025-06-05 09:50:14,567 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4607.370414633306, 'u': 677.1662161591462, 'v': -17.435052488368072, 'w': -10.62747447374818, 'phi': 19.21567353054219, 'theta': -44.40850826320184, 'psi': 171.73611122957993, 'p': 48.088337374581485, 'q': 1.7976586749676478, 'r': -2.577332982546864, 'time': 2.2000000000000006, 'x-dist': 1074.0498493038808, 'y-dist': 201.28384636452455, 'x': np.float64(201.3108381437793), 'y': -1074.1954695498341, 'z': 4607.370414634657, 'alpha': -0.8991285079311068, 'beta': -1.4746916322196086, 'alphadot': -0.5269950954981355, 'betadot': -6.66501029646798, 'gamma': -43.06430952310253}
2025-06-05 09:50:14,567 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4561.06571872531, 'u': 677.8745329699148, 'v': -12.468065932028637, 'w': -7.512038274367967, 'phi': 24.19022424006612, 'theta': -44.1462830722092, 'psi': 171.494705597027, 'p': 25.921175755550177, 'q': 2.617301669142688, 'r': -14.783010685320516, 'time': 2.3000000000000007, 'x-dist': 1122.8158698293585, 'y-dist': 209.55603469586413, 'x': np.float64(209.58413578558546), 'y': -1122.9680850586483, 'z': 4561.065718724242, 'alpha': -0.6349116986043764, 'beta': -1.0536509879608809, 'alphadot': 3.201729779596778, 'betadot': 3.921575621272901, 'gamma': -43.131359706290915}
2025-06-05 09:50:14,567 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4514.685636702924, 'u': 678.4891403580067, 'v': 4.724337641132507, 'w': -5.503386001188119, 'phi': 27.94089732528191, 'theta': -43.26167396231749, 'psi': 169.81738103991896, 'p': -20.396618537531772, 'q': 0.9598646866232823, 'r': -12.511663696118067, 'time': 2.400000000000001, 'x-dist': 1171.6431496939745, 'y-dist': 217.5398086555553, 'x': np.float64(217.56898038311988), 'y': -1171.801966727791, 'z': 4514.685636702693, 'alpha': -0.46472943663332944, 'beta': 0.39893244219714225, 'alphadot': 2.3809579786117485, 'betadot': 15.18190960029826, 'gamma': -43.03539359623156}
2025-06-05 09:50:14,567 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4468.464418545392, 'u': 678.5539345224747, 'v': 19.24352198359751, 'w': -5.743056999255202, 'phi': 26.89336632939993, 'theta': -42.60029288104225, 'psi': 168.3611376498287, 'p': -49.43923134339058, 'q': -1.4355039443898137, 'r': -3.5683105044990087, 'time': 2.500000000000001, 'x-dist': 1220.6542593373158, 'y-dist': 225.71411423686413, 'x': np.float64(225.7443821556845), 'y': -1220.8197016952781, 'z': 4468.464418546612, 'alpha': -0.48492102699914247, 'beta': 1.624392158976954, 'alphadot': -0.15448908515272966, 'betadot': 12.586310473509224, 'gamma': -42.88023125112326}
2025-06-05 09:50:14,568 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4422.353464111666, 'u': 679.0158880672244, 'v': 22.917553801790863, 'w': -5.846535055908475, 'phi': 22.305350859479827, 'theta': -42.58214287492256, 'psi': 167.8397639223539, 'p': -43.21389172919975, 'q': -3.5908561903618192, 'r': 8.32813511467303, 'time': 2.600000000000001, 'x-dist': 1269.808535554354, 'y-dist': 233.8090413261162, 'x': np.float64(233.84039479523867), 'y': -1269.9806212248066, 'z': 4422.353464110261, 'alpha': -0.49332204372483357, 'beta': 1.9329919432136973, 'alphadot': -0.5486523164339294, 'betadot': 3.363980586747204, 'gamma': -42.82808634087414}
2025-06-05 09:50:14,568 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4376.124623831368, 'u': 679.9670665145114, 'v': 12.956021426168277, 'w': -8.19455027381656, 'phi': 17.37187781357947, 'theta': -43.20196715781552, 'psi': 168.74204578977228, 'p': -13.204306563003911, 'q': -4.262642446794224, 'r': 17.3335684064224, 'time': 2.700000000000001, 'x-dist': 1318.9411725363418, 'y-dist': 242.09969566144508, 'x': np.float64(242.13216093125905), 'y': -1319.1198970773878, 'z': 4376.12462383183, 'alpha': -0.6904605248061759, 'beta': 1.0914964685293187, 'alphadot': -1.981820483463093, 'betadot': -8.471711193225953, 'gamma': -42.856314439296824}
2025-06-05 09:50:14,568 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4329.79464564471, 'u': 680.7728056401418, 'v': -5.294384147035359, 'w': -11.606808630573653, 'phi': 14.574003350154575, 'theta': -44.08862551578382, 'psi': 170.88256053209318, 'p': 33.55461801971807, 'q': -2.475099577723548, 'r': 11.031063178879537, 'time': 2.800000000000001, 'x-dist': 1368.077275120817, 'y-dist': 250.40559417051864, 'x': np.float64(250.4391732890699), 'y': -1368.262637494785, 'z': 4329.79464564293, 'alpha': -0.9767674572989994, 'beta': -0.44551673063761454, 'alphadot': -3.0953958180151386, 'betadot': -16.123619810734954, 'gamma': -43.030911453933975}
2025-06-05 09:50:14,568 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4283.175302907823, 'u': 681.4053964288637, 'v': -16.93459400309402, 'w': -11.762191840108926, 'phi': 16.956611790617334, 'theta': -44.62619511694255, 'psi': 172.27265610417874, 'p': 50.64895144416996, 'q': 2.03991374008946, 'r': 1.5159025162956516, 'time': 2.9000000000000012, 'x-dist': 1417.1080530756096, 'y-dist': 258.3151760863982, 'x': np.float64(258.34981591186823), 'y': -1417.3000374154879, 'z': 4283.175302904313, 'alpha': -0.9889223514925546, 'beta': -1.4234355158096033, 'alphadot': -0.6648335650817027, 'betadot': -10.065883499798549, 'gamma': -43.2556804460726}
2025-06-05 09:50:14,568 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4236.314410042037, 'u': 682.1186760240316, 'v': -16.925551936043718, 'w': -7.521134804631515, 'phi': 21.810968895957924, 'theta': -44.48409376084585, 'psi': 172.56804971540208, 'p': 34.25368409734518, 'q': 3.733081801212761, 'r': -10.784561047072925, 'time': 3.0000000000000013, 'x-dist': 1466.0377148370803, 'y-dist': 266.1715163902751, 'x': np.float64(266.207209786872), 'y': -1466.2363058595374, 'z': 4236.314410044914, 'alpha': -0.6317255843612141, 'beta': -1.4213140105707969, 'alphadot': 4.025118363734393, 'betadot': -0.3648897540077775, 'gamma': -43.359782911464}
