2025-06-05 09:54:28,447 - INFO - Aircraft model: f16
2025-06-05 09:54:28,447 - INFO - Simulation time: 100 seconds
2025-06-05 09:54:28,447 - INFO - Time step: 0.1 seconds
2025-06-05 09:54:28,447 - INFO - initial fuel: 3000.0
2025-06-05 09:54:28,449 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5153.98694659398, 'u': 477.07280001887483, 'v': 0.00786802189813419, 'w': 7.7826711657061125, 'phi': -0.0020693571161340806, 'theta': 7.458176478572365, 'psi': 180.00133872207107, 'p': -0.0012823081323359, 'q': -1.6294912002335502, 'r': 0.000767481980076736, 'time': 2.1000000000000005, 'x-dist': 1012.6668455088812, 'y-dist': 0.023054497076966166, 'x': np.float64(-0.023057588637359946), 'y': -1012.8043216332625, 'z': 5153.98694659805, 'alpha': 0.9346050768513855, 'beta': 0.0009448127713342063, 'alphadot': 0.24980425724290048, 'betadot': -0.00012007121245502952, 'gamma': 6.523571435494206}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5159.325907845046, 'u': 476.1266735746574, 'v': 0.007737309705446232, 'w': 7.953579643527405, 'phi': -0.002186869546607422, 'theta': 7.2953580049311535, 'psi': 180.00142161927124, 'p': -0.00131106410473579, 'q': -1.6457561263947909, 'r': 0.0007559896097873729, 'time': 2.2000000000000006, 'x-dist': 1060.015143001479, 'y-dist': 0.025004471403906728, 'x': np.float64(-0.025007824453975168), 'y': -1060.1590487881608, 'z': 5159.325907842313, 'alpha': 0.9570229727732131, 'beta': 0.0009309567707786106, 'alphadot': 0.22772843783754065, 'betadot': -0.00012702577127711803, 'gamma': 6.3383350674754535}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5164.501639813179, 'u': 475.1937521619124, 'v': 0.007587910648646784, 'w': 8.108050020496279, 'phi': -0.0023075923717333544, 'theta': 7.130912832338395, 'psi': 180.0015037274025, 'p': -0.001366047984714883, 'q': -1.6596316261841815, 'r': 0.0007565348079353393, 'time': 2.3000000000000007, 'x-dist': 1107.287344337717, 'y-dist': 0.02700884353133869, 'x': np.float64(-0.02701246536796217), 'y': -1107.4376695605051, 'z': 5164.501639810586, 'alpha': 0.9775212098030787, 'beta': 0.0009147678846689237, 'alphadot': 0.20769442430206542, 'betadot': -0.00015103243756154326, 'gamma': 6.153391659308456}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5169.515016753232, 'u': 474.2740265022711, 'v': 0.007411912491152089, 'w': 8.24911314976488, 'phi': -0.002433996010502219, 'theta': 6.965079905010789, 'psi': 180.0015862710771, 'p': -0.0013848765397897907, 'q': -1.6708941366403876, 'r': 0.000755085263984355, 'time': 2.400000000000001, 'x-dist': 1154.4841635518785, 'y-dist': 0.029065140273284606, 'x': np.float64(-0.029069037859577918), 'y': -1154.6408980740136, 'z': 5169.515016756653, 'alpha': 0.9964528717634666, 'beta': 0.0008952779588021307, 'alphadot': 0.19132451336791734, 'betadot': -0.00018529494556863586, 'gamma': 5.968627071370967}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5174.366822429009, 'u': 473.36749163474155, 'v': 0.00721275788831429, 'w': 8.379738507071472, 'phi': -0.0025624926908130318, 'theta': 6.7981205233937505, 'psi': 180.00166905646947, 'p': -0.0013429327491666114, 'q': -1.6805080043302851, 'r': 0.0007410027240175802, 'time': 2.500000000000001, 'x-dist': 1201.6063331768478, 'y-dist': 0.031171107962513527, 'x': np.float64(-0.03117528795918209), 'y': -1201.7694669535554, 'z': 5174.366822425918, 'alpha': 1.014166614533901, 'beta': 0.0008728859826829802, 'alphadot': 0.1785852037707579, 'betadot': -0.00021532033984848032, 'gamma': 5.783953948161386}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5179.057768654091, 'u': 472.47413862641264, 'v': 0.007001477179737623, 'w': 8.501920432879984, 'phi': -0.0026871574692600305, 'theta': 6.630199553447016, 'psi': 180.00175080738035, 'p': -0.0012633240858719796, 'q': -1.689588415420446, 'r': 0.0007141992774225039, 'time': 2.600000000000001, 'x-dist': 1248.6545994984156, 'y-dist': 0.03332450314845068, 'x': np.float64(-0.03332897191655305), 'y': -1248.8241225788292, 'z': 5179.057768652365, 'alpha': 1.0308957715986997, 'beta': 0.0008489145299686093, 'alphadot': 0.16829567890938782, 'betadot': -0.00023139344142615486, 'gamma': 5.599303822100495}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5183.588505152609, 'u': 471.59395187211794, 'v': 0.006788075782461451, 'w': 8.616634269785017, 'phi': -0.002804366811904815, 'theta': 6.461370342752826, 'psi': 180.00183022977342, 'p': -0.0011897241595579667, 'q': -1.6986898144947271, 'r': 0.0006829682520728668, 'time': 2.700000000000001, 'x-dist': 1295.6297179613452, 'y-dist': 0.03552295209028041, 'x': np.float64(-0.035527715672201185), 'y': -1295.8056204897887, 'z': 5183.5885051579035, 'alpha': 1.046751867085456, 'beta': 0.0008245720456726372, 'alphadot': 0.15919651795611114, 'betadot': -0.00023479843596282195, 'gamma': 5.414618516638767}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5187.9596243947735, 'u': 470.7269114102062, 'v': 0.006575475999640656, 'w': 8.724345625708857, 'phi': -0.0029147604871265706, 'theta': 6.291630794597767, 'psi': 180.00190686292376, 'p': -0.0011503109318699504, 'q': -1.707743635623741, 'r': 0.0006561854071997452, 'time': 2.800000000000001, 'x-dist': 1342.5324502899887, 'y-dist': 0.0377639640269437, 'x': np.float64(-0.0377690281308544), 'y': -1342.7147225068697, 'z': 5187.959624394214, 'alpha': 1.0617853961932218, 'beta': 0.0008002141456960271, 'alphadot': 0.15064709163151774, 'betadot': -0.0002345860439919404, 'gamma': 5.229845439896945}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5192.171665810071, 'u': 469.87299655745113, 'v': 0.0063598602022036065, 'w': 8.825529193355223, 'phi': -0.003021694720526312, 'theta': 6.120985668903143, 'psi': 180.00198114465877, 'p': -0.0011411168403089816, 'q': -1.7164122547404457, 'r': 0.0006368582297960489, 'time': 2.9000000000000012, 'x-dist': 1389.363563328095, 'y-dist': 0.040045051050545295, 'x': np.float64(-0.04005042105171578), 'y': -1389.5521955706436, 'z': 5192.171665813937, 'alpha': 1.0760484766445306, 'beta': 0.0007753773674324673, 'alphadot': 0.14265314081007938, 'betadot': -0.00023938292717274513, 'gamma': 5.044937234106312}
2025-06-05 09:54:28,450 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5196.225121758854, 'u': 469.0321879354165, 'v': 0.006135708410096762, 'w': 8.920875476881093, 'phi': -0.0031281001891208795, 'theta': 5.9494734879563405, 'psi': 180.00205382226468, 'p': -0.0011364060577240462, 'q': -1.7244570588432115, 'r': 0.0006213971939389495, 'time': 3.0000000000000013, 'x-dist': 1436.123828649167, 'y-dist': 0.04236384101662297, 'x': np.float64(-0.04236952196992856), 'y': -1436.31881135211, 'z': 5196.225121754954, 'alpha': 1.0896200882757634, 'beta': 0.0007493870051642475, 'alphadot': 0.13548627958973117, 'betadot': -0.00025135566277547, 'gamma': 4.85985344172451}
