2025-06-05 09:48:17,206 - INFO - Aircraft model: f16
2025-06-05 09:48:17,206 - INFO - Simulation time: 100 seconds
2025-06-05 09:48:17,206 - INFO - Time step: 0.1 seconds
2025-06-05 09:48:17,207 - INFO - initial fuel: 3000.0
2025-06-05 09:48:17,211 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5071.4970901757615, 'u': 553.2732453465443, 'v': -12.719158546959612, 'w': -11.765192353273932, 'phi': -39.233424314552394, 'theta': -65.43509526119948, 'psi': 208.4016791851802, 'p': 8.311132503261524, 'q': -0.4544939180067359, 'r': -2.0619449959124037, 'time': 2.1000000000000005, 'x-dist': 449.49071831398606, 'y-dist': 196.2061840742232, 'x': np.float64(-196.23249473397448), 'y': -449.5517276700618, 'z': 5071.497090175709, 'alpha': -1.2181942544312574, 'beta': -1.3166390144509157, 'alphadot': 0.8637594051388219, 'betadot': -0.3732672384460852, 'gamma': -65.26365128457786}
2025-06-05 09:48:17,211 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 5021.084058180427, 'u': 555.2865622493624, 'v': -11.41839811816424, 'w': -11.553861576310254, 'phi': -38.111165882022185, 'theta': -65.59935769397217, 'psi': 208.08175591469205, 'p': 9.040623898965089, 'q': -0.4086335628336985, 'r': -3.2340702209713434, 'time': 2.2000000000000006, 'x-dist': 470.5785287144592, 'y-dist': 205.70188833609512, 'x': np.float64(-205.72947234584558), 'y': -470.6423926802968, 'z': 5021.0840581798975, 'alpha': -1.1919827405909287, 'beta': -1.1777564339746207, 'alphadot': 0.5685933804407314, 'betadot': 1.4378414312755, 'gamma': -65.33592619807409}
2025-06-05 09:48:17,211 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4970.515792015938, 'u': 557.191600154742, 'v': -9.34186890996125, 'w': -11.745502819987166, 'phi': -36.69277235501983, 'theta': -65.82819121502123, 'psi': 207.5174713381665, 'p': 1.6135286471715276, 'q': -0.5316258845044276, 'r': -2.1926436778345204, 'time': 2.3000000000000007, 'x-dist': 491.7791286747867, 'y-dist': 215.13982295918206, 'x': np.float64(-215.16867257286668), 'y': -491.84586184648845, 'z': 4970.515792017252, 'alpha': -1.207606299949932, 'beta': -0.9603171844004429, 'alphadot': 0.10778659140721587, 'betadot': 2.30746978047652, 'gamma': -65.39129172002238}
2025-06-05 09:48:17,212 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4919.749868255109, 'u': 558.9434966998931, 'v': -8.21722984946745, 'w': -12.617831351901145, 'phi': -36.20751524938764, 'theta': -66.00116070721215, 'psi': 207.16268039536465, 'p': -7.132622555710252, 'q': -0.6834672901746102, 'r': 0.22420177107929992, 'time': 2.400000000000001, 'x-dist': 513.0262075285514, 'y-dist': 224.50894348586323, 'x': np.float64(-224.53904947639916), 'y': -513.0958154894125, 'z': 4919.74986825513, 'alpha': -1.2931999725160797, 'beta': -0.8420507358258033, 'alphadot': -0.6213268832773838, 'betadot': 1.2618899974456306, 'gamma': -65.41533506519347}
2025-06-05 09:48:17,212 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4868.829172108341, 'u': 560.8802127991485, 'v': -8.987711122970772, 'w': -12.71450434948187, 'phi': -37.05289053648844, 'theta': -66.04256541414557, 'psi': 207.30728329187676, 'p': -8.437872600742416, 'q': -0.7322074606427998, 'r': 1.7004524108145618, 'time': 2.500000000000001, 'x-dist': 534.3777861833236, 'y-dist': 233.80964661811169, 'x': np.float64(-233.84099981166023), 'y': -534.4502823890692, 'z': 4868.829172104977, 'alpha': -1.2986065036875607, 'beta': -0.917810266440936, 'alphadot': -0.3291958548790563, 'betadot': -0.8137384683526936, 'gamma': -65.5151973333322}
2025-06-05 09:48:17,212 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4817.636102058018, 'u': 562.9076671792395, 'v': -10.77274193348141, 'w': -12.481824353027804, 'phi': -38.299811256662025, 'theta': -65.9965210793406, 'psi': 207.74851890773186, 'p': -0.24399539449241028, 'q': -0.6478633600485614, 'r': 0.6438969893415196, 'time': 2.600000000000001, 'x-dist': 555.6351051173498, 'y-dist': 243.14640525821275, 'x': np.float64(-243.17901049041492), 'y': -555.710476032946, 'z': 4817.636102058165, 'alpha': -1.2702592684916651, 'beta': -1.0961045948106072, 'alphadot': 0.059454128718004866, 'betadot': -1.923849917013986, 'gamma': -65.62673040218607}
2025-06-05 09:48:17,212 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4766.2181833796285, 'u': 565.0719947608923, 'v': -11.551832359509842, 'w': -11.624318144550273, 'phi': -38.527947131304224, 'theta': -66.00721249773896, 'psi': 207.9715346594483, 'p': 9.904878934742122, 'q': -0.46457157341184363, 'r': -2.091305103939833, 'time': 2.700000000000001, 'x-dist': 576.8708578507712, 'y-dist': 252.54194590338224, 'x': np.float64(-252.57581105749136), 'y': -576.9490998086104, 'z': 4766.218183379723, 'alpha': -1.1784877848001354, 'beta': -1.1708934837193543, 'alphadot': 0.6971852208551896, 'betadot': -0.8517174692520895, 'gamma': -65.76190303810444}
2025-06-05 09:48:17,212 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4714.536593571298, 'u': 567.0864310341796, 'v': -10.136852970411464, 'w': -11.330808991587844, 'phi': -37.229506075720685, 'theta': -66.17221958738267, 'psi': 207.63464755634217, 'p': 11.571668081558535, 'q': -0.3960748915274419, 'r': -3.807297442419034, 'time': 2.800000000000001, 'x-dist': 598.0288361899698, 'y-dist': 262.00014595372966, 'x': np.float64(-262.03527943295757), 'y': -598.1099378887545, 'z': 4714.536593570419, 'alpha': -1.144660010267246, 'beta': -1.023867170848348, 'alphadot': 0.5909187034794345, 'betadot': 1.5192383893705905, 'gamma': -65.83607382229007}
2025-06-05 09:48:17,213 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4662.690007742483, 'u': 568.9802790349793, 'v': -7.545505720474164, 'w': -11.498285317225424, 'phi': -35.42707699417609, 'theta': -66.4296070422416, 'psi': 206.92991982356233, 'p': 1.908869389485307, 'q': -0.5547948574342296, 'r': -2.5305149556816082, 'time': 2.9000000000000012, 'x-dist': 619.2815915848979, 'y-dist': 271.40370038645824, 'x': np.float64(-271.44009486383925), 'y': -619.3655651391707, 'z': 4662.690007739472, 'alpha': -1.1577089476854996, 'beta': -0.7596257222859716, 'alphadot': 0.14754516876388446, 'betadot': 2.8203361182642888, 'gamma': -65.89408742211074}
2025-06-05 09:48:17,213 - INFO - {'aileron': 0.0, 'elevator': 0.0, 'rudder': 0.0, 'altitude': 4610.649717479952, 'u': 570.7135649248286, 'v': -6.194662968047542, 'w': -12.410953535575516, 'phi': -34.83315158249598, 'theta': -66.62053267907372, 'psi': 206.49051568916977, 'p': -10.320957911435888, 'q': -0.7356235446163942, 'r': 0.8213474253517435, 'time': 3.0000000000000013, 'x-dist': 640.5885537583121, 'y-dist': 280.71511348681986, 'x': np.float64(-280.75275660732757), 'y': -640.6754057679763, 'z': 4610.6497174835395, 'alpha': -1.245779387963831, 'beta': -0.6217308362974584, 'alphadot': -0.642720627760462, 'betadot': 1.4985492619724432, 'gamma': -65.92388456021703}
