r,l,t,terminated,truncated,episode_count
-370.887493,228,82.604005,True,False,237
-335.747648,237,82.771816,True,False,238
-496.818447,176,82.900218,True,False,239
-226.500948,320,83.120784,True,False,240
-392.380089,205,84.180655,True,False,241
-122.640268,374,84.454329,True,False,242
-214.792453,316,84.680993,True,False,243
-372.679485,161,84.796894,True,False,244
-352.52248,225,84.959483,True,False,245
-420.166955,184,85.091287,True,False,246
-329.971459,275,85.283888,True,False,247
-213.014926,319,85.548238,True,False,248
-98.494029,383,86.719576,True,False,249
-527.690505,279,86.914575,True,False,250
-427.046878,195,87.048953,True,False,251
-417.518355,223,87.205712,True,False,252
-180.864096,355,87.458553,True,False,253
-160.931089,376,87.718198,True,False,254
-145.885314,363,87.979504,True,False,255
-398.594851,166,88.995839,True,False,256
-127.170208,381,89.271733,True,False,257
-181.49662,353,89.568171,True,False,258
-35.566799,410,89.981691,True,False,259
-406.107044,210,90.132545,True,False,260
-418.05618,160,90.246611,True,False,261
-384.42058,133,90.360511,True,False,262
-353.459732,280,91.501549,True,False,263
-168.174728,343,91.762111,True,False,264
-315.329422,187,91.894723,True,False,265
-49.199444,398,92.177509,True,False,266
-374.551959,223,92.343171,True,False,267
-351.245795,234,92.512092,True,False,268
-95.394621,384,92.787083,True,False,269
-333.771146,173,92.916626,True,False,270
-62.875103,396,94.131958,True,False,271
-377.908279,104,94.20715,True,False,272
-317.412482,255,94.389079,True,False,273
-345.260842,123,94.477456,True,False,274
-361.658542,183,94.610103,True,False,275
-270.751501,286,94.813144,True,False,276
-360.79146,202,94.956844,True,False,277
-414.464891,184,95.088801,True,False,278
-451.492306,166,95.208722,True,False,279
-351.110506,279,96.314169,True,False,280
-407.654789,137,96.415007,True,False,281
-70.113417,387,96.694578,True,False,282
-183.73318,305,96.912534,True,False,283
-342.82291,195,97.069992,True,False,284
-110.896983,361,97.362937,True,False,285
-309.902129,208,97.537547,True,False,286
-132.769201,355,97.789804,True,False,287
-310.243355,180,98.860947,True,False,288
-112.724449,368,99.164934,True,False,289
-358.098753,182,99.297355,True,False,290
-296.710922,231,99.463731,True,False,291
-94.68738,355,99.719116,True,False,292
70.930272,420,100.021008,True,False,293
-356.452516,129,100.111884,True,False,294
-421.531754,184,100.244402,True,False,295
113.246186,434,101.44748,True,False,296
-211.929718,299,101.659889,True,False,297
-199.209871,341,101.901545,True,False,298
39.57764,412,102.20899,True,False,299
-155.445403,339,103.679735,True,False,300
-306.177467,136,103.787679,True,False,301
-159.935589,333,104.972236,True,False,302
-256.984961,236,105.162045,True,False,303
-309.890287,170,105.284851,True,False,304
-350.838501,233,105.45388,True,False,305
-333.656488,195,105.59427,True,False,306
-31.029655,387,105.873929,True,False,307
-11.312238,391,106.156856,True,False,308
-43.413229,373,107.356822,True,False,309
-1.519915,377,107.619687,True,False,310
-316.191352,186,107.754453,True,False,311
-384.346951,143,107.859345,True,False,312
-413.714167,196,108.003376,True,False,313
-277.162129,264,108.218491,True,False,314
-328.397555,262,108.407249,True,False,315
-185.478451,320,108.638704,True,False,316
-91.411997,362,109.825333,True,False,317
-321.498999,212,109.986567,True,False,318
-162.511518,312,110.218788,True,False,319
-242.59028,266,110.4146,True,False,320
-142.371191,346,110.662857,True,False,321
-71.932047,370,110.922056,True,False,322
-10.436516,375,112.105198,True,False,323
-107.790451,354,112.364333,True,False,324
-295.882533,223,112.526403,True,False,325
-313.747058,253,112.727937,True,False,326
-314.612392,189,112.882267,True,False,327
-287.839534,282,113.084901,True,False,328
43.301522,408,113.376497,True,False,329
-284.751892,223,113.533249,True,False,330
-331.275852,199,114.651436,True,False,331
-337.782754,125,114.743567,True,False,332
-143.504432,365,115.008995,True,False,333
-296.807277,198,115.151959,True,False,334
-346.996157,237,115.358329,True,False,335
-147.964822,315,115.586996,True,False,336
-251.433679,233,115.757303,True,False,337
36.7203,381,116.036488,True,False,338
-340.461995,71,116.088503,True,False,339
-188.986309,337,117.268971,True,False,340
-121.247072,337,117.526867,True,False,341
-294.395663,166,117.644974,True,False,342
-366.160554,178,117.772058,True,False,343
-108.678499,370,118.041085,True,False,344
5.49723,375,118.308878,True,False,345
-308.317927,154,118.418295,True,False,346
-385.243413,230,119.53902,True,False,347
-179.183778,320,119.765437,True,False,348
-328.627414,182,119.896683,True,False,349
-56.025597,355,120.149783,True,False,350
-9.171485,373,120.414517,True,False,351
-67.808014,353,120.666159,True,False,352
44.890743,393,120.947178,True,False,353
-141.548613,373,122.105021,True,False,354
-385.894421,188,122.23992,True,False,355
-362.594779,180,122.372859,True,False,356
-151.553407,330,122.610009,True,False,357
-276.678768,205,122.756738,True,False,358
-116.926465,326,122.988948,True,False,359
-366.933673,188,123.124433,True,False,360
-364.89379,197,123.265832,True,False,361
-327.329249,232,124.331502,True,False,362
-201.94692,365,124.592249,True,False,363
171.907552,418,124.888929,True,False,364
-101.47262,320,125.129669,True,False,365
-84.642946,336,125.377721,True,False,366
-270.579818,213,125.545766,True,False,367
-334.512569,208,125.695609,True,False,368
46.023774,376,126.878062,True,False,369
62.391951,377,127.145604,True,False,370
193.8626,417,127.443023,True,False,371
-303.920872,215,127.597694,True,False,372
-247.668367,237,127.766812,True,False,373
-126.472579,312,128.01275,True,False,374
172.253197,429,129.276474,True,False,375
-285.393371,133,129.395282,True,False,376
-294.575926,193,129.538393,True,False,377
-195.361469,275,129.749224,True,False,378
-50.994795,336,130.020186,True,False,379
-330.290947,174,130.158181,True,False,380
-322.526178,155,130.274217,True,False,381
-301.296164,154,130.391229,True,False,382
-294.169014,175,130.518055,True,False,383
-234.604679,250,131.711023,True,False,384
-43.821518,341,131.972394,True,False,385
-162.745147,281,132.176837,True,False,386
-272.774893,219,132.337393,True,False,387
28.257405,370,132.614821,True,False,388
-289.306117,135,132.71304,True,False,389
-35.555804,348,132.966816,True,False,390
-335.544803,144,133.072229,True,False,391
-326.991891,110,133.153507,True,False,392
-308.020218,199,134.187269,True,False,393
-237.49752,264,134.385188,True,False,394
-234.31435,298,134.617897,True,False,395
-275.98237,292,134.840546,True,False,396
-374.622604,230,135.008579,True,False,397
-145.863752,285,135.21597,True,False,398
134.840323,398,135.534713,True,False,399
102.537446,387,138.493645,True,False,400
197.167075,421,138.854456,True,False,401
-280.383399,198,139.006459,True,False,402
-319.157223,115,139.102009,True,False,403
-224.845529,237,139.283082,True,False,404
-295.974846,148,139.388507,True,False,405
-34.131212,339,139.633248,True,False,406
-274.176321,102,139.740815,True,False,407
-190.264396,269,140.913199,True,False,408
-360.353218,191,141.07071,True,False,409
-163.032934,277,141.312882,True,False,410
-8.480936,358,141.584922,True,False,411
-243.169858,245,141.762994,True,False,412
164.897403,396,142.048378,True,False,413
-284.94208,172,142.170327,True,False,414
-417.024271,157,142.284672,True,False,415
-66.326973,337,143.461932,True,False,416
-379.284211,156,143.602317,True,False,417
-119.899255,297,143.813938,True,False,418
-81.545579,321,144.055486,True,False,419
-164.249191,322,144.301727,True,False,420
76.836802,374,144.573053,True,False,421
6.677021,335,144.817165,True,False,422
-255.182167,185,145.935548,True,False,423
-165.103866,307,146.160284,True,False,424
343.826138,467,146.516955,True,False,425
245.150877,433,146.828008,True,False,426
-247.736017,94,146.896182,True,False,427
-59.009105,345,147.155259,True,False,428
-254.198507,155,147.267355,True,False,429
-110.428865,288,148.436254,True,False,430
-407.717528,197,148.595474,True,False,431
172.376698,408,148.931468,True,False,432
-201.418154,226,149.093027,True,False,433
82.797771,409,149.401977,True,False,434
-4.147918,356,149.659449,True,False,435
-291.785283,199,149.806085,True,False,436
152.713569,397,151.020231,True,False,437
-70.273027,358,151.301493,True,False,438
413.353405,499,151.73286,True,False,439
355.130429,467,152.066132,True,False,440
130.443254,397,152.353483,True,False,441
-330.387058,97,153.313314,True,False,442
107.430099,376,153.582973,True,False,443
-246.86214,188,153.716511,True,False,444
87.118223,372,153.982376,True,False,445
239.579515,433,154.29149,True,False,446
1311.025638,673,155.831303,True,False,447
-186.149632,263,156.033407,True,False,448
134.376488,410,156.324446,True,False,449
812.85482,581,156.737302,True,False,450
-143.36522,312,156.95962,True,False,451
37.475231,355,157.210274,True,False,452
969.140315,604,158.5441,True,False,453
-184.034442,297,158.752591,True,False,454
-294.44107,164,158.866929,True,False,455
-50.986187,321,159.092896,True,False,456
247.557968,441,159.406203,True,False,457
444.199937,489,160.674877,True,False,458
-190.701326,258,160.858851,True,False,459
199.520901,440,161.173512,True,False,460
-42.820109,328,161.428201,True,False,461
-73.258179,338,161.711486,True,False,462
223.55057,434,162.018949,True,False,463
379.199893,475,163.265465,True,False,464
150.891009,405,163.553638,True,False,465
1278.609814,670,164.029291,True,False,466
352.73156,459,164.359351,True,False,467
-29.340501,368,165.500229,True,False,468
63.422917,364,165.758306,True,False,469
-61.542075,334,165.996768,True,False,470
-318.674447,100,166.068389,True,False,471
306.887781,450,166.423114,True,False,472
433.912891,486,166.778744,True,False,473
604.840744,510,168.082903,True,False,474
423.029738,514,168.446516,True,False,475
934.430485,623,168.889714,True,False,476
-480.836979,274,169.097733,True,False,477
144.158048,404,170.366099,True,False,478
303.142131,453,170.737413,True,False,479
195.207307,430,171.050302,True,False,480
330.522581,452,171.377803,True,False,481
-92.063043,306,171.617754,True,False,482
67.8123,401,172.847789,True,False,483
1656.313288,742,173.379216,True,False,484
156.444482,397,173.661244,True,False,485
-68.964659,326,173.925715,True,False,486
-145.982113,317,174.172514,True,False,487
479.039968,501,175.462147,True,False,488
294.766719,478,175.810256,True,False,489
113.602892,406,176.104862,True,False,490
176.043685,412,176.407221,True,False,491
1095.190405,662,177.806287,True,False,492
303.785328,459,178.139857,True,False,493
-259.443307,202,178.284962,True,False,494
-116.665211,263,178.476995,True,False,495
260.105167,416,178.773782,True,False,496
506.90421,490,180.05449,True,False,497
-287.54097,132,180.149483,True,False,498
