#{"t_start": 1749135669.2434473, "env_id": "None"}
r,l,t,terminated,truncated,episode_count
-417.780196,176,123.450623,True,False,371
-403.667533,172,123.572748,True,False,372
-443.63611,216,123.723539,True,False,373
-411.96815,187,123.854135,True,False,374
-428.190318,189,124.910387,True,False,375
-339.644427,277,125.105879,True,False,376
-316.393012,135,125.203521,True,False,377
-351.187921,240,125.372056,True,False,378
-259.575062,348,125.614014,True,False,379
-361.742374,203,125.756926,True,False,380
-400.587655,299,125.96759,True,False,381
-415.535235,222,126.125652,True,False,382
99.639793,546,127.531571,True,False,383
-585.2097,221,127.693551,True,False,384
-612.840423,358,127.956797,True,False,385
-356.606143,99,128.030041,True,False,386
-336.951858,480,128.389914,True,False,387
-487.124083,288,128.599059,True,False,388
-407.702075,206,128.751109,True,False,389
-340.145549,122,129.733537,True,False,390
-373.239531,146,129.841613,True,False,391
-535.818696,271,130.039701,True,False,392
-458.046214,401,130.331651,True,False,393
-137.342132,487,130.682909,True,False,394
-91.792226,490,131.036065,True,False,395
-130.235118,422,132.230684,True,False,396
-362.870323,162,132.346838,True,False,397
-495.011667,186,132.479955,True,False,398
-332.777989,131,132.573028,True,False,399
-361.270346,66,132.755774,True,False,400
-388.700722,266,132.947152,True,False,401
-452.896547,151,133.056714,True,False,402
-130.623024,420,133.396012,True,False,403
-413.945103,150,133.504374,True,False,404
-344.944211,116,133.58678,True,False,405
-342.578866,108,133.6635,True,False,406
-91.450269,611,135.000433,True,False,407
-258.168802,370,135.268304,True,False,408
-303.946872,414,135.568296,True,False,409
-416.754278,300,135.78316,True,False,410
-411.603006,273,135.981251,True,False,411
-310.10807,183,136.113345,True,False,412
-370.840166,182,137.155982,True,False,413
-474.557928,206,137.305196,True,False,414
-347.646102,159,137.417409,True,False,415
-411.920796,405,137.69938,True,False,416
-365.853051,185,137.830091,True,False,417
-350.544422,400,138.111837,True,False,418
-327.012722,337,138.358895,True,False,419
-363.765238,232,139.446608,True,False,420
-415.747853,211,139.59851,True,False,421
-279.27736,371,139.865398,True,False,422
-638.953166,314,140.08843,True,False,423
-288.764281,314,140.311898,True,False,424
-331.559939,93,140.377406,True,False,425
-418.295755,133,140.469997,True,False,426
-302.166942,133,140.563441,True,False,427
-571.915825,331,140.797282,True,False,428
-146.089222,550,142.093478,True,False,429
-464.143548,287,142.302075,True,False,430
-459.68109,248,142.484644,True,False,431
-267.407454,458,142.812851,True,False,432
-894.920696,457,143.139386,True,False,433
-784.095324,386,144.326063,True,False,434
-689.893754,424,144.630965,True,False,435
-444.208524,181,144.760597,True,False,436
-320.794051,104,144.836047,True,False,437
-492.077554,305,145.053365,True,False,438
-324.527085,113,145.132338,True,False,439
-408.999228,374,145.404632,True,False,440
-380.205088,267,145.592848,True,False,441
-329.067123,453,146.795243,True,False,442
-1162.714354,359,147.048857,True,False,443
-1081.760619,215,147.226651,True,False,444
-345.703118,368,147.496969,True,False,445
-180.095758,381,147.77511,True,False,446
-346.035742,229,147.94235,True,False,447
-383.458227,135,148.956995,True,False,448
-377.734619,151,149.065754,True,False,449
-531.660207,232,149.232944,True,False,450
-166.460501,390,149.518577,True,False,451
